Season,Transparent,Year,cap,dv
1,0,2014,394.17,19.6654
2,0,2014,394.17,19.6094
3,0,2014,394.17,18.6681
4,0,2014,394.17,16.3164
1,0,2015,394.17,13.4361
2,0,2015,394.17,11.3518
3,0,2015,394.17,9.3566
4,0,2015,394.17,7.5827
1,0,2016,394.17,6.1353
2,0,2016,394.17,5.2385
3,0,2016,394.17,4.6372
4,0,2016,394.17,5.747999999999999
1,0,2017,394.17,6.6844
2,0,2017,394.17,7.3738
1,1,2014,214.33,8.9941
2,1,2014,214.33,8.9434
4,1,2015,214.33,-1.1013
1,0,2016,214.33,-2.6223
2,0,2016,214.33,2.2818
3,0,2016,214.33,2.6179
4,0,2016,214.33,3.9392
1,0,2017,214.33,4.1693
2,0,2017,214.33,5.6091
1,0,2014,214.26,13.5327
2,0,2014,214.26,13.7579
3,0,2014,214.26,12.6527
4,0,2014,214.26,11.2875
1,0,2015,214.26,7.917000000000001
2,0,2015,214.26,5.5592
3,0,2015,214.26,2.9810000000000003
4,0,2015,214.26,0.8461
1,0,2016,214.26,-0.4943
2,0,2016,214.26,-0.9943
3,0,2016,214.26,-0.3333
4,0,2016,214.26,1.9603
1,0,2017,214.26,3.9746
2,0,2017,214.26,4.4284
1,0,2014,176.75,11.614
2,0,2014,176.75,11.4592
3,0,2014,176.75,9.2845
4,0,2014,176.75,6.7408
1,0,2015,176.75,5.4681
2,0,2015,176.75,3.5646
3,0,2015,176.75,3.0155
4,0,2015,176.75,1.3273
1,0,2016,176.75,0.9002
2,0,2016,176.75,0.5654
3,0,2016,176.75,0.6634
4,0,2016,176.75,2.3106
1,0,2017,176.75,1.6808
2,0,2017,176.75,1.9784
1,1,2014,144.64,8.772
2,1,2014,144.64,7.2116
3,1,2014,144.64,3.1392
4,1,2014,144.64,2.3829
1,1,2015,144.64,-5.3282
2,1,2015,144.64,-6.676
3,1,2015,144.64,-6.2162
4,1,2015,144.64,-9.3725
1,0,2016,144.64,-5.2956
2,0,2016,144.64,-3.8297
3,0,2016,144.64,0.1185
4,0,2016,144.64,2.2161
1,0,2017,144.64,3.9139
2,0,2017,144.64,4.0633
1,1,2014,127.37,13.7155
2,1,2014,127.37,13.4244
3,1,2014,127.37,5.7536
4,1,2014,127.37,3.0126
1,1,2015,127.37,3.437
2,1,2015,127.37,1.821
3,1,2015,127.37,5.8777
4,1,2015,127.37,4.3342
1,0,2016,127.37,3.3477
2,0,2016,127.37,3.9121
3,0,2016,127.37,6.8522
4,0,2016,127.37,7.4288
1,0,2017,127.37,7.2017
2,0,2017,127.37,7.8454
1,1,2014,113.16,16.9565
2,1,2014,113.16,17.3492
3,1,2014,113.16,14.0664
4,1,2014,113.16,12.4157
1,1,2015,113.16,11.0827
2,1,2015,113.16,8.6429
3,1,2015,113.16,5.6394
4,1,2015,113.16,4.3772
1,0,2016,113.16,-4.1849
2,0,2016,113.16,-6.2339
3,0,2016,113.16,-4.3983
4,0,2016,113.16,-5.026
1,0,2017,113.16,0.431
2,0,2017,113.16,1.3348
1,1,2014,90.61,12.107000000000001
2,1,2014,90.61,11.4489
3,1,2014,90.61,7.9987
4,1,2014,90.61,5.506
1,1,2015,90.61,6.2148
2,1,2015,90.61,3.3960000000000004
3,1,2015,90.61,5.0917
4,1,2015,90.61,5.357
1,0,2016,90.61,3.8398
2,0,2016,90.61,5.1336
3,0,2016,90.61,6.6608
4,0,2016,90.61,8.0065
1,0,2017,90.61,7.6777
2,0,2017,90.61,7.8765
1,1,2014,80.02,9.027999999999999
2,1,2014,80.02,5.0294
3,1,2014,80.02,2.1888
4,1,2014,80.02,1.3084
1,1,2015,80.02,0.10800000000000001
2,1,2015,80.02,-4.0479
3,1,2015,80.02,-15.2334
4,1,2015,80.02,-17.5905
1,0,2016,80.02,-18.844
2,0,2016,80.02,-19.2712
3,0,2016,80.02,-2.6979
4,0,2016,80.02,0.5624
1,0,2017,80.02,1.5049
2,0,2017,80.02,3.4505
1,0,2014,78.25,17.6666
2,0,2014,78.25,17.6619
3,0,2014,78.25,13.2095
4,0,2014,78.25,9.8514
1,0,2015,78.25,5.3072
2,0,2015,78.25,-2.0445
3,0,2015,78.25,-9.6604
4,0,2015,78.25,-14.0618
1,0,2016,78.25,-16.3897
2,0,2016,78.25,-17.4919
3,0,2016,78.25,-9.6741
4,0,2016,78.25,-4.1912
1,0,2017,78.25,-11.5848
2,0,2017,78.25,-7.4066
1,1,2014,74.32,18.6248
2,1,2014,74.32,12.937999999999999
3,1,2014,74.32,5.9487
4,1,2014,74.32,-10.1046
1,0,2015,74.32,-10.8777
2,0,2015,74.32,-10.2919
3,0,2015,74.32,-10.1958
4,0,2015,74.32,1.0986
1,0,2016,74.32,-2.6247
2,0,2016,74.32,-2.955
3,0,2016,74.32,-7.7793
4,0,2016,74.32,-6.2655
1,0,2017,74.32,-1.8647
2,0,2017,74.32,-1.9833
1,1,2014,71.37,17.9566
2,1,2014,71.37,12.8413
3,1,2014,71.37,11.5961
4,1,2014,71.37,10.4451
1,1,2015,71.37,8.9562
2,1,2015,71.37,12.8076
3,1,2015,71.37,12.3307
4,1,2015,71.37,10.5477
1,0,2016,71.37,8.717
2,0,2016,71.37,5.9524
3,0,2016,71.37,5.7789
4,0,2016,71.37,5.6127
1,0,2017,71.37,4.8788
1,1,2014,70.96,5.7308
2,1,2014,70.96,3.3089
3,1,2014,70.96,-6.5735
4,1,2014,70.96,-6.5781
1,1,2015,70.96,-7.8087
2,1,2015,70.96,-7.7677
3,1,2015,70.96,-12.3624
4,1,2015,70.96,-14.6223
1,0,2016,70.96,-14.3698
2,0,2016,70.96,-19.7722
3,0,2016,70.96,-5.8713
4,0,2016,70.96,-3.5079
1,0,2017,70.96,-3.4651
1,0,2014,70.32,14.2047
2,0,2014,70.32,13.1496
3,0,2014,70.32,1.5778
4,0,2014,70.32,-2.5712
1,0,2015,70.32,-5.8597
2,0,2015,70.32,-16.5319
3,0,2015,70.32,-26.4007
4,0,2015,70.32,-25.9969
1,0,2016,70.32,-27.8283
2,0,2016,70.32,-21.005
3,0,2016,70.32,-2.504
4,0,2016,70.32,-2.3848
1,0,2017,70.32,0.512
2,0,2017,70.32,2.5369
1,1,2014,69.98,20.1907
2,1,2014,69.98,15.9799
3,1,2014,69.98,9.6926
4,1,2014,69.98,3.6832
1,1,2015,69.98,1.5931
2,1,2015,69.98,-0.2871
3,1,2015,69.98,-8.8228
4,1,2015,69.98,-8.5333
1,1,2016,69.98,-9.7975
2,1,2016,69.98,-10.4334
3,1,2016,69.98,3.5964
4,1,2016,69.98,4.7959
1,0,2017,69.98,5.8139
1,0,2014,60.23,18.3463
2,0,2014,60.23,18.7002
3,0,2014,60.23,16.7522
4,0,2014,60.23,14.8815
1,0,2015,60.23,14.2176
2,0,2015,60.23,13.8988
3,0,2015,60.23,13.1455
4,0,2015,60.23,12.4317
1,0,2016,60.23,12.2046
2,0,2016,60.23,12.0963
3,0,2016,60.23,11.8705
4,0,2016,60.23,11.9547
1,0,2017,60.23,12.2016
1,1,2014,56.97,19.3843
2,1,2014,56.97,18.6056
3,1,2014,56.97,16.8691
4,1,2014,56.97,16.9953
1,1,2015,56.97,18.3947
2,1,2015,56.97,18.755
3,1,2015,56.97,17.7305
4,1,2015,56.97,17.9932
1,0,2016,56.97,19.3916
2,0,2016,56.97,21.1881
3,0,2016,56.97,19.8387
4,0,2016,56.97,20.1842
1,0,2017,56.97,20.8814
1,1,2014,47.74,9.3341
2,1,2014,47.74,7.3585
3,1,2014,47.74,6.5207
4,1,2014,47.74,2.0903
1,1,2015,47.74,3.3317
2,1,2015,47.74,0.231
3,1,2015,47.74,-4.9478
4,1,2015,47.74,-3.3441
1,1,2016,47.74,-6.6738
2,1,2016,47.74,-4.9434
3,1,2016,47.74,1.0374
4,1,2016,47.74,3.4822
1,0,2017,47.74,6.0667
2,0,2017,47.74,8.0735
1,0,2014,44.15,15.5017
2,0,2014,44.15,18.729
3,0,2014,44.15,17.5997
4,0,2014,44.15,12.4452
1,0,2015,44.15,8.1072
2,0,2015,44.15,-24.4847
3,0,2015,44.15,-29.5183
4,0,2015,44.15,-32.3105
1,0,2016,44.15,-34.7604
2,0,2016,44.15,-9.8764
3,0,2016,44.15,-8.1463
4,0,2016,44.15,-4.5295
1,0,2017,44.15,-2.1633
2,1,2015,42.36,12.2288
4,1,2015,42.36,13.2344
2,0,2016,42.36,11.8152
4,0,2016,42.36,12.0638
2,0,2017,42.36,12.3393
1,1,2014,41.76,9.1959
2,1,2014,41.76,7.1569
3,0,2016,41.76,6.4188
4,0,2016,41.76,6.9471
1,0,2017,41.76,9.232999999999999
1,0,2014,41.03,19.3652
2,0,2014,41.03,23.9895
3,0,2014,41.03,23.4522
4,0,2014,41.03,15.2476
1,0,2015,41.03,10.0175
2,0,2015,41.03,1.6678
3,0,2015,41.03,-4.2296
4,0,2015,41.03,-17.0594
1,0,2016,41.03,-44.8641
2,0,2016,41.03,-44.9025
3,0,2016,41.03,-46.3431
4,0,2016,41.03,-30.8021
1,0,2017,41.03,-1.5763
2,0,2017,41.03,2.2435
1,0,2014,39.34,-14.605
2,0,2014,39.34,-9.884
3,0,2014,39.34,-8.4219
4,0,2014,39.34,-13.263
1,0,2015,39.34,-14.0929
2,0,2015,39.34,-33.6057
3,0,2015,39.34,-41.1443
4,0,2015,39.34,-31.8438
1,0,2016,39.34,-37.6943
2,0,2016,39.34,-28.5768
3,0,2016,39.34,-24.5935
4,0,2016,39.34,-20.0578
1,0,2017,39.34,-18.3185
2,0,2017,39.34,-16.6966
1,1,2014,35.36,12.6434
2,1,2014,35.36,11.7563
3,1,2014,35.36,14.3754
4,1,2014,35.36,11.1594
1,1,2015,35.36,5.7459
2,1,2015,35.36,1.5518
3,1,2015,35.36,-2.2640000000000002
4,1,2015,35.36,-1.7686
1,1,2016,35.36,-1.5764
2,1,2016,35.36,-2.4055
3,1,2016,35.36,-0.7605
4,1,2016,35.36,0.5471
1,0,2017,35.36,5.4627
1,0,2014,34.76,6.6035
2,0,2014,34.76,7.8764
1,1,2014,34.73,19.9964
2,1,2014,34.73,20.7076
3,1,2014,34.73,18.0007
4,1,2014,34.73,15.1389
1,1,2015,34.73,9.7023
2,1,2015,34.73,7.4264
3,1,2015,34.73,4.883
4,1,2015,34.73,2.6057
1,1,2016,34.73,1.3048
2,1,2016,34.73,3.4915
3,1,2016,34.73,8.9378
4,1,2016,34.73,10.6845
1,0,2017,34.73,11.2456
2,0,2017,34.73,8.4525
1,1,2014,34.53,15.1154
2,1,2014,34.53,8.4034
3,1,2014,34.53,12.3913
4,1,2014,34.53,3.957
1,1,2015,34.53,1.9884
2,1,2015,34.53,-2.9467
3,1,2015,34.53,-0.3267
4,1,2015,34.53,12.5337
1,1,2016,34.53,10.2739
2,1,2016,34.53,14.4858
3,1,2016,34.53,13.3967
4,1,2016,34.53,3.6042
1,0,2017,34.53,5.5859
2,0,2017,34.53,8.4653
1,1,2014,33.3,36.4914
2,1,2014,33.3,30.7414
4,1,2014,33.3,10.6116
1,1,2015,33.3,12.3413
2,1,2015,33.3,7.9269
3,1,2015,33.3,18.3505
4,1,2015,33.3,32.9644
1,0,2016,33.3,32.0195
2,0,2016,33.3,42.4881
3,0,2016,33.3,47.9873
4,0,2016,33.3,33.6867
1,0,2017,33.3,26.7671
2,0,2017,33.3,26.3411
1,0,2014,31.6,11.8603
2,0,2014,31.6,11.8888
3,0,2014,31.6,11.6584
4,0,2014,31.6,10.6532
1,0,2015,31.6,9.4041
2,0,2015,31.6,6.8047
3,0,2015,31.6,-4.1483
4,0,2015,31.6,-6.7699
1,0,2016,31.6,-9.7246
2,0,2016,31.6,-19.5544
3,0,2016,31.6,-15.9087
4,0,2016,31.6,-15.9532
1,0,2017,31.6,-15.1176
2,0,2017,31.6,-6.484
1,0,2014,31.43,3.7822
2,0,2014,31.43,-1.301
3,0,2014,31.43,-18.2125
4,0,2014,31.43,-37.9054
1,0,2015,31.43,-48.2619
2,0,2015,31.43,-71.2236
3,0,2015,31.43,-80.8219
4,0,2015,31.43,-80.8472
1,0,2016,31.43,-77.3517
2,0,2016,31.43,-64.3568
3,0,2016,31.43,-19.8924
4,0,2016,31.43,-19.5168
1,0,2017,31.43,-0.057
2,0,2017,31.43,9.8813
1,1,2014,30.75,10.5202
2,1,2014,30.75,10.2332
3,1,2014,30.75,10.3976
4,1,2014,30.75,10.1648
1,1,2015,30.75,10.3051
2,1,2015,30.75,9.8487
3,1,2015,30.75,-8.064
4,1,2015,30.75,-8.9679
1,1,2016,30.75,-9.4132
2,1,2016,30.75,-11.4441
3,1,2016,30.75,0.7007
4,1,2016,30.75,3.0111
1,0,2017,30.75,6.0057
1,0,2014,30.05,-90.6524
2,0,2014,30.05,-15.6435
3,0,2014,30.05,-22.1276
4,0,2014,30.05,-26.7612
1,0,2015,30.05,-29.4583
2,0,2015,30.05,-15.4023
3,0,2015,30.05,-4.1078
4,0,2015,30.05,15.6394
1,0,2016,30.05,23.3099
2,0,2016,30.05,-2.5527
3,0,2016,30.05,-38.9691
4,0,2016,30.05,-81.3183
1,0,2017,30.05,-159.4313
1,1,2014,30.02,2.2489
2,1,2014,30.02,1.9609
3,1,2014,30.02,5.8465
4,1,2014,30.02,5.2749
1,1,2015,30.02,4.6377
2,1,2015,30.02,2.7283
3,1,2015,30.02,-4.9512
4,1,2015,30.02,-5.7891
1,0,2016,30.02,-6.0805
2,0,2016,30.02,-3.7367
3,0,2016,30.02,5.845
4,0,2016,30.02,6.7123
1,0,2017,30.02,7.3569
1,1,2014,28.86,9.8431
2,1,2014,28.86,9.9963
3,1,2014,28.86,6.287000000000001
4,1,2014,28.86,3.8246
1,1,2015,28.86,1.271
2,1,2015,28.86,-23.9817
3,1,2015,28.86,-21.738000000000003
4,1,2015,28.86,-25.5943
1,1,2016,28.86,-27.7126
2,1,2016,28.86,3.8898
3,1,2016,28.86,5.46
4,1,2016,28.86,8.8528
1,0,2017,28.86,9.6258
2,0,2017,28.86,1.6047
1,0,2014,27.09,5.8931
2,0,2014,27.09,27.0938
3,0,2014,27.09,30.9948
4,0,2014,27.09,31.8678
1,0,2015,27.09,26.0275
2,0,2015,27.09,4.0809
3,0,2015,27.09,-7.4639999999999995
4,0,2015,27.09,-9.9547
1,0,2016,27.09,-18.9842
2,0,2016,27.09,-18.1269
3,0,2016,27.09,-7.8584
4,0,2016,27.09,0.1981
1,0,2017,27.09,7.6127
2,0,2017,27.09,7.2789
1,0,2014,25.74,15.8191
2,0,2014,25.74,19.3849
3,0,2014,25.74,18.088
4,0,2014,25.74,18.5111
1,0,2015,25.74,21.7406
2,0,2015,25.74,23.1499
3,0,2015,25.74,19.3671
4,0,2015,25.74,16.9973
1,0,2016,25.74,14.1997
2,0,2016,25.74,10.6577
3,0,2016,25.74,11.2895
4,0,2016,25.74,10.3703
1,0,2017,25.74,9.0521
1,0,2014,25.03,15.2095
2,0,2014,25.03,17.7017
3,0,2014,25.03,9.8753
4,0,2014,25.03,6.732
1,0,2015,25.03,0.19399999999999998
2,0,2015,25.03,-5.4541
3,0,2015,25.03,-14.6955
4,0,2015,25.03,-15.2651
1,0,2016,25.03,-14.8547
2,0,2016,25.03,-15.2289
3,0,2016,25.03,-37.025
4,0,2016,25.03,-35.6828
1,0,2017,25.03,-36.9477
2,0,2017,25.03,-39.1048
1,0,2014,24.84,7.162000000000001
2,0,2014,24.84,7.2689
3,0,2014,24.84,9.4612
4,0,2014,24.84,4.5045
1,0,2015,24.84,1.4608
2,0,2015,24.84,-1.5382
3,0,2015,24.84,-11.2648
4,0,2015,24.84,-14.2404
1,0,2016,24.84,-19.5187
2,0,2016,24.84,-21.9278
3,0,2016,24.84,-18.9128
4,0,2016,24.84,-13.5732
1,0,2017,24.84,-8.8125
2,0,2017,24.84,-3.7649
1,0,2014,24.46,16.4881
2,0,2014,24.46,21.659000000000002
3,0,2014,24.46,23.2753
4,0,2014,24.46,29.6375
